<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BULL.US,D,20250411,000000,16,16.69,9.54,13.25,3931772,0
BULL.US,D,20250414,000000,27.64,79.56,26.02,62.9,36885308,0
BULL.US,D,20250415,000000,49.8,59.21,39.1001,40.9,12009608,0
BULL.US,D,20250416,000000,40.41,52.6862,34.5001,36.22,9312710,0
BULL.US,D,20250417,000000,37.86,38.6099,25.83,26.33,3904371,0
BULL.US,D,20250421,000000,24.23,27.3,21.85,24.62,3697061,0
BULL.US,D,20250422,000000,23.55,33.3289,22.51,23.48,9812334,0
BULL.US,D,20250423,000000,26.88,27.5,20.53,21.57,5608082,0
BULL.US,D,20250424,000000,20.86,21.65,18.85,19.5,3589704,0
BULL.US,D,20250425,000000,19.6,19.6044,16.9,17.27,5371918,0
BULL.US,D,20250428,000000,18.21,18.2199,14.95,15.445,6235741,0
BULL.US,D,20250429,000000,14.73,16.1,13.75,14.43,7337353,0
BULL.US,D,20250430,000000,13.96,15.25,13.41,13.89,7020334,0
BULL.US,D,20250501,000000,14.71,14.9499,13.09,13.54,5767381,0
BULL.US,D,20250502,000000,13.6,16.35,13.1,15.96,12419583,0
BULL.US,D,20250505,000000,15.48,16.7,14.1,14.55,10742633,0
BULL.US,D,20250506,000000,15.36,15.84,14.41,14.94,9675764,0
BULL.US,D,20250507,000000,14.94,17.65,14.25,16.25,21165337,0
BULL.US,D,20250508,000000,16.605,18.7,15.7301,18.1,13402367,0
BULL.US,D,20250509,000000,17.96,18.85,16.13,16.41,10072111,0
BULL.US,D,20250512,000000,15.61,16,13.88,14.09,12627465,0
BULL.US,D,20250513,000000,14.15,14.38,13.66,13.99,7984175,0
BULL.US,D,20250514,000000,14.14,14.1854,13.26,13.515,9180023,0
BULL.US,D,20250515,000000,13.31,13.4,12.2,12.29,7313713,0
BULL.US,D,20250516,000000,13.2,13.37,12.1701,12.41,12063145,0
BULL.US,D,20250519,000000,12.02,12.17,11.61,11.91,5185962,0
BULL.US,D,20250520,000000,12.7,13.19,12.012,12.21,16328670,0
BULL.US,D,20250521,000000,12.22,13.53,12.07,12.59,16149124,0
BULL.US,D,20250522,000000,12.72,13.72,12.57,13.5,17939687,0
BULL.US,D,20250523,000000,12.76,12.89,12.15,12.3,12451461,0
BULL.US,D,20250527,000000,12.53,13.24,11.85,13.205,11895753,0
BULL.US,D,20250528,000000,13.38,14.25,13.05,13.22,19998004,0
BULL.US,D,20250529,000000,12.91,13,12.35,12.44,10382539,0
BULL.US,D,20250530,000000,12.17,12.24,11.54,11.68,10810276,0
BULL.US,D,20250602,000000,11.58,11.6184,11.1335,11.44,7860306,0
BULL.US,D,20250603,000000,11.3,11.3799,10.89,10.95,8923667,0
BULL.US,D,20250604,000000,10.81,11.25,10.37,11.14,11368063,0
BULL.US,D,20250605,000000,11.33,11.39,10.32,10.42,11178534,0
BULL.US,D,20250606,000000,10.48,11.13,10.45,10.96,8455678,0
BULL.US,D,20250609,000000,11.035,11.035,10.55,10.71,6289337,0
BULL.US,D,20250610,000000,11.32,11.7343,10.7,10.85,15346539,0
BULL.US,D,20250611,000000,10.82,11.37,10.76,10.91,6983666,0
BULL.US,D,20250612,000000,10.79,10.91,10.54,10.71,3946404,0
BULL.US,D,20250613,000000,10.4701,10.7,10.18,10.39,5343162,0
BULL.US,D,20250616,000000,10.37,10.77,10.24,10.69,5248003,0
BULL.US,D,20250617,000000,10.5,10.725,10.37,10.38,2544531,0
BULL.US,D,20250618,000000,10.35,10.99,10.27,10.765,5083282,0
BULL.US,D,20250620,000000,10.925,10.93,10.55,10.6,4279098,0
BULL.US,D,20250623,000000,10.53,10.661,10.26,10.42,3835279,0
BULL.US,D,20250624,000000,10.57,11.42,10.54,11.2,8766697,0
BULL.US,D,20250625,000000,11.7,11.75,10.77,10.92,9011152,0
BULL.US,D,20250626,000000,10.82,11.48,10.81,11.31,6325461,0
BULL.US,D,20250627,000000,11.27,11.51,10.72,10.83,7349198,0
BULL.US,D,20250630,000000,10.87,12.06,10.82,11.96,15903895,0
BULL.US,D,20250701,000000,12.405,12.91,12.03,12.56,22134264,0
BULL.US,D,20250702,000000,12.53,14.3,12.31,14.01,26586057,0
BULL.US,D,20250703,000000,14.6,15.15,13.92,14.3,28799754,0
BULL.US,D,20250707,000000,12.66,12.96,11.91,12.72,18198706,0
BULL.US,D,20250708,000000,12.775,13.22,12.51,12.845,9593186,0
BULL.US,D,20250709,000000,12.88,13.5,12.3,13.23,14143957,0
BULL.US,D,20250710,000000,13.21,13.4,12.73,12.81,8023347,0
BULL.US,D,20250711,000000,12.59,12.74,12.37,12.48,6202868,0
BULL.US,D,20250714,000000,12.38,13.13,12.34,12.81,6621389,0
BULL.US,D,20250715,000000,12.84,12.92,12.1,12.13,8639900,0
BULL.US,D,20250716,000000,12.18,12.95,11.95,12.9,10201197,0
BULL.US,D,20250717,000000,13.4,14.52,12.92,14.43,26412384,0
BULL.US,D,20250718,000000,14.65,17.22,14.3812,16.89,55290987,0
BULL.US,D,20250721,000000,15.435,16.6,14.575,14.62,30819943,0
BULL.US,D,20250722,000000,14.72,17.05,14.35,16.97,27656668,0
BULL.US,D,20250723,000000,17.2,17.91,16.29,17.74,29467665,0
BULL.US,D,20250724,000000,17.74,18.32,15.91,16.09,22451483,0
BULL.US,D,20250725,000000,15.855,16.65,15.32,16.045,16633133,0
BULL.US,D,20250728,000000,16.15,16.34,15.4,15.72,12227343,0
BULL.US,D,20250729,000000,15.25,15.48,13.65,13.69,23938688,0
BULL.US,D,20250730,000000,13.87,14.29,13.7,13.95,13740836,0
BULL.US,D,20250731,000000,13.89,14.41,13.62,14.19,13428458,0
BULL.US,D,20250801,000000,13.465,13.7,13.05,13.33,12452915,0
BULL.US,D,20250804,000000,13.44,14.43,13.38,14.29,10601267,0
BULL.US,D,20250805,000000,14.32,15.248,14.2642,14.84,11258703,0
BULL.US,D,20250806,000000,14.775,16.1405,14.72,15.41,16892447,0
BULL.US,D,20250807,000000,15.73,15.8999,15.06,15.32,11120097,0
BULL.US,D,20250808,000000,15.38,15.73,14.76,15,9188883,0
BULL.US,D,20250811,000000,15.25,16.41,14.855,14.88,16746196,0
BULL.US,D,20250812,000000,15.185,15.8614,15.05,15.63,9676955,0
BULL.US,D,20250813,000000,15.67,16.05,15,15.015,10899667,0
BULL.US,D,20250814,000000,14.83,15.8497,14.67,15.45,10043845,0
BULL.US,D,20250815,000000,15.63,16.1299,15.05,16.005,12045678,0
BULL.US,D,20250818,000000,16.294,17.08,15.552,15.97,17611912,0
BULL.US,D,20250819,000000,16,16.32,14.93,14.93,12212995,0
BULL.US,D,20250820,000000,14.85,14.87,14.0492,14.34,11356767,0
BULL.US,D,20250821,000000,14.17,14.46,13.91,14.27,4886844,0
BULL.US,D,20250822,000000,14.01,15.515,13.81,15.41,11011105,0
BULL.US,D,20250825,000000,15.37,15.64,14.93,14.96,8236299,0
BULL.US,D,20250826,000000,15,15.3,14.75,15,6689080,0
BULL.US,D,20250827,000000,14.88,14.9599,14.35,14.44,7928266,0
BULL.US,D,20250828,000000,14.595,14.7499,14.28,14.67,13873426,0
BULL.US,D,20250829,000000,14.89,14.9103,13.54,13.59,20429808,0
BULL.US,D,20250902,000000,13.15,13.56,12.76,13.45,11005220,0
BULL.US,D,20250903,000000,13.6,13.65,12.865,13.01,8491808,0
BULL.US,D,20250904,000000,13.04,13.44,12.94,13.28,7763150,0
BULL.US,D,20250905,000000,13.26,13.35,12.56,12.93,9822787,0
BULL.US,D,20250908,000000,12.83,13.61,12.83,13.39,8202012,0
BULL.US,D,20250909,000000,13.38,13.56,13.26,13.54,4924367,0
BULL.US,D,20250910,000000,13.57,13.965,12.985,13,8300125,0
BULL.US,D,20250911,000000,13.06,13.64,13.06,13.6,5892370,0
BULL.US,D,20250912,000000,13.7445,13.92,13.14,13.35,12174455,0
BULL.US,D,20250915,000000,13.395,13.55,13.06,13.15,6508189,0
BULL.US,D,20250916,000000,13.15,13.22,12.69,13.05,7452362,0
BULL.US,D,20250917,000000,12.98,13.0767,12.54,12.61,8956520,0
BULL.US,D,20250918,000000,12.76,12.975,12.57,12.74,14517306,0
BULL.US,D,20250919,000000,12.775,13.47,12.66,13.29,15819452,0
BULL.US,D,20250922,000000,13.285,14.34,13.155,14.1,19310980,0
BULL.US,D,20250923,000000,14.3,14.61,13.72,14,21469388,0
BULL.US,D,20250924,000000,14.32,14.74,13.85,13.97,17293646,0
BULL.US,D,20250925,000000,13.665,14.81,13.31,14.64,24529138,0
BULL.US,D,20250926,000000,15.22,15.41,14.31,15.16,35582761,0
BULL.US,D,20250929,000000,15.37,15.76,14.85,15.55,26153665,0
BULL.US,D,20250930,000000,15.35,16.04,14.62,14.79,20902938,0
BULL.US,D,20251001,000000,14.7,14.7498,14.07,14.11,24986477,0
BULL.US,D,20251002,000000,14.31,14.505,13.97,14.38,21269373,0
BULL.US,D,20251003,000000,14.61,15.04,14.14,14.19,23840827,0
BULL.US,D,20251006,000000,14.25,14.505,13.65,13.71,34278847,0
BULL.US,D,20251007,000000,13.62,13.64,12.79,12.8,35818873,0
BULL.US,D,20251008,000000,12.185,12.69,11.41,12.66,164694352,0
BULL.US,D,20251009,000000,13.095,13.25,12.33,12.54,57002292,0
BULL.US,D,20251010,000000,12.59,12.83,11.35,11.4,66756034,0
BULL.US,D,20251013,000000,11.55,11.75,11.15,11.74,38748898,0
BULL.US,D,20251014,000000,11.48,11.93,11.05,11.73,30903329,0
BULL.US,D,20251015,000000,11.835,11.98,11.43,11.61,27412735,0
BULL.US,D,20251016,000000,11.73,11.97,11.250533,11.75,31361715,0
BULL.US,D,20251017,000000,11.4,11.515,11,11.01,28136029,0
BULL.US,D,20251020,000000,11.045,11.5,10.87,11.48,22338780,0
BULL.US,D,20251021,000000,11.385,11.62,11.075,11.14,26235189,0
BULL.US,D,20251022,000000,11,11.0797,10.54,10.83,26441222,0
BULL.US,D,20251023,000000,10.885,11.275,10.7474,11.08,20399402,0
BULL.US,D,20251024,000000,11.27,11.63,11.19,11.51,19093452,0
BULL.US,D,20251027,000000,11.74,11.97,11.54,11.57,18430915,0
BULL.US,D,20251028,000000,11.57,11.57,11.18,11.29,14060320,0
BULL.US,D,20251029,000000,11.23,11.2997,10.8314,10.96,13040915,0
BULL.US,D,20251030,000000,10.83,10.955,10.705,10.79,12757163,0
BULL.US,D,20251031,000000,10.89,11.05,10.7,10.82,13120854,0
BULL.US,D,20251103,000000,10.825,10.83,10.29,10.35,18804149,0
BULL.US,D,20251104,000000,9.99,10.1799,9.55,9.71,24629936,0
BULL.US,D,20251105,000000,9.71,9.97,9.62,9.94,15677670,0
BULL.US,D,20251106,000000,10.1,10.1,9.56,9.63,16595088,0
BULL.US,D,20251107,000000,9.39,9.65,9.18,9.64,17475049,0
BULL.US,D,20251110,000000,9.9,9.95,9.57,9.71,11432191,0
BULL.US,D,20251111,000000,9.64,9.69,9.4613,9.52,9629376,0
BULL.US,D,20251112,000000,9.54,9.85,9.52,9.77,9564207,0
BULL.US,D,20251113,000000,9.67,9.7,9,9.01,19577027,0
BULL.US,D,20251114,000000,8.77,9.0294,8.6,8.63,20782013,0
BULL.US,D,20251117,000000,8.512,8.55,7.99,8.15,20314043,0
BULL.US,D,20251118,000000,8.055,8.505,8,8.39,18839739,0
BULL.US,D,20251119,000000,8.45,8.48,8.02,8.22,20999131,0
BULL.US,D,20251120,000000,8.55,8.66,8.175,8.25,34907812,0
BULL.US,D,20251121,000000,8.26,8.4851,7.57,8.29,35184414,0
BULL.US,D,20251124,000000,8.29,8.745,8.1214,8.67,23656835,0
BULL.US,D,20251125,000000,8.62,8.73,8.38,8.7,15382580,0
BULL.US,D,20251126,000000,9.35,9.4,9.07,9.26,29876996,0
BULL.US,D,20251128,000000,9.325,9.5,9.205,9.33,10098529,0
BULL.US,D,20251201,000000,8.97,9.285,8.82,9.2,13696737,0
BULL.US,D,20251202,000000,9.21,9.42,8.97,9,14489277,0
BULL.US,D,20251203,000000,8.98,9.27,8.85,9.26,13138973,0
BULL.US,D,20251204,000000,9.245,9.68,9.22,9.62,17520481,0
BULL.US,D,20251205,000000,9.58,9.621,9.36,9.47,12475418,0
BULL.US,D,20251208,000000,9.55,9.84,9.45,9.71,11931734,0
BULL.US,D,20251209,000000,9.62,10.37,9.5,10.25,21419001,0
BULL.US,D,20251210,000000,10.15,10.32,9.94,10.03,12688877,0
BULL.US,D,20251211,000000,9.85,9.94,9.685,9.73,12033005,0
BULL.US,D,20251212,000000,9.73,9.985,9.14,9.16,11995183,0
BULL.US,D,20251215,000000,9.18,9.25,8.575,8.62,14474933,0
BULL.US,D,20251216,000000,8.6,8.785,8.46,8.56,9784031,0
BULL.US,D,20251217,000000,8.56,8.8,8.33,8.37,13447786,0
BULL.US,D,20251218,000000,8.465,8.6799,8.26,8.29,12629630,0
BULL.US,D,20251219,000000,8.39,8.64,8.33,8.57,49560945,0
BULL.US,D,20251222,000000,8.7,8.92,8.68,8.74,12001502,0
BULL.US,D,20251223,000000,8.63,8.65,8.34,8.37,13008658,0
BULL.US,D,20251224,000000,8.36,8.45,8.27,8.39,5282629,0
BULL.US,D,20251226,000000,8.37,8.37,8.115,8.18,10178947,0
BULL.US,D,20251229,000000,8.035,8.1925,7.92,8.06,14611679,0
BULL.US,D,20251230,000000,8.04,8.12,7.915,7.93,12389647,0
BULL.US,D,20251231,000000,7.885,7.93,7.6643,7.77,21276139,0
BULL.US,D,20260102,000000,7.88,8.27,7.8701,8.19,12246000,0
BULL.US,D,20260105,000000,8.29,8.675,8.28,8.56,14466587,0
BULL.US,D,20260106,000000,8.67,8.745,8.42,8.65,10970752,0
BULL.US,D,20260107,000000,8.57,8.585,8.395,8.42,7997009,0
BULL.US,D,20260108,000000,8.36,8.5,8.23,8.43,8829632,0
BULL.US,D,20260109,000000,8.46,8.64,8.29,8.46,11980821,0
BULL.US,D,20260112,000000,8.43,8.575,8.23,8.28,16304278,0
BULL.US,D,20260113,000000,8.31,8.375,8.051,8.19,11930145,0
BULL.US,D,20260114,000000,8.17,8.415,8.1,8.39,12199200,0
BULL.US,D,20260115,000000,8.41,8.61,8.13,8.18,13492933,0
BULL.US,D,20260116,000000,8.21,8.28,8.01,8.16,8696726,0
BULL.US,D,20260120,000000,7.89,8.0099,7.8,7.83,10827809,0
BULL.US,D,20260121,000000,7.83,7.97,7.64,7.77,9726280,0
BULL.US,D,20260122,000000,7.86,8.08,7.81,7.83,7200125,0
BULL.US,D,20260123,000000,7.85,8,7.75,7.84,7564151,0
