<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WFF.US,D,20250327,000000,3.97,4,3.6,3.75,1749664,0
WFF.US,D,20250328,000000,3.42,5.52,3.4,3.79,1813377,0
WFF.US,D,20250331,000000,3.7193,4.06,3.66,4,194864,0
WFF.US,D,20250401,000000,4,4.086,3.46,3.4647,468734,0
WFF.US,D,20250402,000000,3.31,3.4705,3.31,3.38,109615,0
WFF.US,D,20250403,000000,3.2,3.59,3.2,3.255,94520,0
WFF.US,D,20250404,000000,3.27,3.45,3.27,3.39,31900,0
WFF.US,D,20250407,000000,3.31,3.56,3.31,3.4,20923,0
WFF.US,D,20250408,000000,3.505,3.6,3.42,3.54,10956,0
WFF.US,D,20250409,000000,3.48,3.53,3.3301,3.53,11108,0
WFF.US,D,20250410,000000,3.4675,3.5,3.4,3.46,12525,0
WFF.US,D,20250411,000000,3.54,3.59,3.3179,3.3213,46930,0
WFF.US,D,20250414,000000,3.2555,3.7,3.2555,3.6107,111130,0
WFF.US,D,20250415,000000,3.519,3.9,3.5,3.76,10120,0
WFF.US,D,20250416,000000,3.7695,4.2,3.7601,3.9,41393,0
WFF.US,D,20250417,000000,3.9,3.9,3.55,3.9,18989,0
WFF.US,D,20250421,000000,3.7,3.8907,3.66,3.8,2198,0
WFF.US,D,20250422,000000,3.66,3.94,3.63,3.785,11561,0
WFF.US,D,20250423,000000,3.7,3.89,3.51,3.71,95828,0
WFF.US,D,20250424,000000,3.7,3.71,3.65,3.67,2152,0
WFF.US,D,20250425,000000,3.64,3.6899,3.55,3.55,2496,0
WFF.US,D,20250428,000000,3.71,3.8988,3.4594,3.82,90481,0
WFF.US,D,20250429,000000,3.71,3.71,3.53,3.65,4062,0
WFF.US,D,20250430,000000,3.7,3.7,3.53,3.6,2173,0
WFF.US,D,20250501,000000,3.65,3.7,3.65,3.65,6871,0
WFF.US,D,20250502,000000,3.74,3.83,3.69,3.69,50328,0
WFF.US,D,20250505,000000,3.68,3.68,3.6699,3.68,5255,0
WFF.US,D,20250506,000000,3.49,3.6758,3.45,3.6758,3341,0
WFF.US,D,20250507,000000,3.82,4.28,3.8,4.25,40308,0
WFF.US,D,20250508,000000,4.237,4.25,4,4,10318,0
WFF.US,D,20250509,000000,3.9998,4.24,3.9917,4.0634,3387,0
WFF.US,D,20250512,000000,4.1,4.28,4.0023,4.26,12644,0
WFF.US,D,20250513,000000,4.23,4.2477,4,4.2477,11034,0
WFF.US,D,20250514,000000,4.31,4.31,4.1213,4.1417,4856,0
WFF.US,D,20250515,000000,4.2799,4.28,4.2602,4.2602,796,0
WFF.US,D,20250516,000000,4.2799,4.9,4.23,4.775,14410,0
WFF.US,D,20250519,000000,4.7698,4.95,4.3,4.3,16074,0
WFF.US,D,20250520,000000,4.64,5.9198,4.3852,5.6,419106,0
WFF.US,D,20250521,000000,5.55,5.55,4.73,4.73,17834,0
WFF.US,D,20250522,000000,4.71,5.18,4.71,4.99,20264,0
WFF.US,D,20250523,000000,5.21,5.21,4.8216,4.95,4559,0
WFF.US,D,20250527,000000,4.9,5.33,4.9,4.9,21507,0
WFF.US,D,20250528,000000,5.05,5.1,4.33,4.79,13147,0
WFF.US,D,20250529,000000,4.9725,5.14,4.8287,5.14,22356,0
WFF.US,D,20250530,000000,4.8749,5.24,4.8749,5.0489,2271,0
WFF.US,D,20250602,000000,5.0738,5.63,5,5.55,32147,0
WFF.US,D,20250603,000000,5.3968,5.73,5.3184,5.7299,9948,0
WFF.US,D,20250604,000000,5.73,5.93,5.54,5.54,11683,0
WFF.US,D,20250605,000000,5.89,5.98,5.4,5.7,132887,0
WFF.US,D,20250606,000000,5.7389,5.87,5.5782,5.81,90835,0
WFF.US,D,20250609,000000,5.9,6.45,5.895,6.45,37904,0
WFF.US,D,20250610,000000,6.37,6.4413,6.23,6.23,4239,0
WFF.US,D,20250611,000000,5.9,6.8716,5.9,6.65,24404,0
WFF.US,D,20250612,000000,6.6128,6.81,6.39,6.81,13551,0
WFF.US,D,20250613,000000,6.71,6.8015,6.22,6.25,16119,0
WFF.US,D,20250616,000000,6.42,6.42,5.85,5.85,10713,0
WFF.US,D,20250617,000000,5.67,6.19,5.67,6.19,13756,0
WFF.US,D,20250618,000000,6.25,6.66,5.87,6.16,75304,0
WFF.US,D,20250620,000000,6.3897,7.04,6.1,7.04,48513,0
WFF.US,D,20250623,000000,11.53,12.1,5.875,6.51,650016,0
WFF.US,D,20250624,000000,7.948,16.84,4.56,6.05,8549456,0
WFF.US,D,20250625,000000,6,6.15,5.1,5.76,358973,0
WFF.US,D,20250626,000000,5.78,6.6975,5.61,6.64,252331,0
WFF.US,D,20250627,000000,6.81,29.26,3.26,3.99,27509841,0
WFF.US,D,20250630,000000,3.8,4.12,1.91,2.33,6787219,0
WFF.US,D,20250701,000000,2.23,2.2978,1.61,2.03,1869738,0
